sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-12-29;261,40;261,50;262,60;266,30;261,30;262,30;263,111;143860;37851238,6;2173;
2023-12-28;262,40;262,60;262,30;263,40;259,50;262,40;261,822;185481;48562419,4;2690;
2023-12-27;262,10;262,30;260,50;263,90;260,50;262,10;261,967;191982;50292815,15;2803;
2023-12-22;260,20;260,50;259,20;263,20;255,20;260,30;260,198;222742;57978758,15;2710;
2023-12-21;259,00;259,20;259,60;260,70;257,20;259,20;259,032;214735;55623159,1;2293;
2023-12-20;261,60;262,00;262,60;263,40;259,80;262,10;261,63;145499;38066748,75;1664;
2023-12-19;262,30;262,50;259,00;263,60;259,00;262,60;262,014;143251;37533984,5;1678;
2023-12-18;258,60;258,80;260,40;260,50;257,20;258,80;258,983;185548;48053722;2109;
2023-12-15;261,30;261,50;261,00;263,60;258,70;261,60;261,573;394538;103200323,6;4052;
2023-12-14;259,90;260,20;254,00;261,70;253,50;260,10;259,119;471942;122288049,2;3487;
2023-12-13;248,70;249,10;249,10;252,00;248,10;248,70;249,57;185971;46414210,55;1949;
2023-12-12;249,10;249,50;253,50;253,60;248,40;249,10;250,117;296022;74039565,8;2937;
2023-12-11;252,90;253,10;249,80;253,80;248,10;253,20;251,976;321901;81108310;3578;
2023-12-08;250,00;250,10;250,30;252,00;247,60;249,80;250,041;196116;49038085,8;2331;
2023-12-07;249,30;249,50;248,60;250,20;246,10;250,00;248,593;400638;99735830,6;3427;
2023-12-06;249,00;249,20;242,50;249,70;241,40;249,60;247,346;358466;88636561,7;3464;
2023-12-05;241,30;241,40;232,70;242,80;231,40;242,00;240,173;332043;79757585,3;2646;
2023-12-04;232,40;232,80;233,30;234,90;231,30;233,00;232,968;249528;58131473,55;2221;
2023-12-01;233,50;233,70;235,30;236,20;232,20;233,30;233,677;157453;36787615,65;1976;
2023-11-30;233,50;233,70;232,90;234,90;230,40;234,90;234,464;544127;127573770,7;2415;
2023-11-29;233,20;233,40;228,10;234,20;228,10;232,90;232,198;395899;91930945,5;2129;
2023-11-28;227,70;227,90;230,10;231,40;225,20;228,10;227,588;137336;31255584,75;1986;
2023-11-27;229,90;230,20;229,20;230,70;228,20;230,10;229,767;123189;28304650,65;2140;
2023-11-24;229,50;229,70;226,30;229,80;225,70;229,80;228,649;138048;31564006,2;2128;
