sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-12-29;272,70;272,90;269,30;274,90;269,30;273,00;273,111;250407;68391809,25;2288;
2023-12-28;269,10;269,20;267,80;269,60;267,20;269,30;268,646;332013;89194672,85;2043;
2023-12-27;267,30;267,50;266,00;268,80;265,70;267,80;267,546;140658;37632554,6;1920;
2023-12-22;266,00;266,20;265,60;266,80;264,30;266,00;265,457;150875;40045316,95;1853;
2023-12-21;265,80;266,10;267,70;268,00;264,60;265,70;265,738;137091;36424034,3;1479;
2023-12-20;267,70;268,00;266,50;269,40;264,50;267,70;267,461;326922;87464409,7;1979;
2023-12-19;266,40;267,00;263,50;267,10;263,10;266,50;265,715;315867;83916985,09;1800;
2023-12-18;263,70;263,80;267,60;268,30;262,20;263,50;264,262;376012;98863974,35;2865;
2023-12-15;267,90;268,10;276,90;278,50;266,70;267,60;268,967;612881;164845842,55;4499;
2023-12-14;276,90;277,20;274,50;281,10;274,40;276,80;277,747;380540;105683598,95;2655;
2023-12-13;273,40;273,50;275,70;278,60;273,00;273,00;274,607;193085;53018712,9;1449;
2023-12-12;275,70;276,00;277,60;278,30;272,70;275,70;274,934;451476;124096462,9;3737;
2023-12-11;277,10;277,30;272,90;278,40;272,30;277,60;276,764;308812;85467572,25;1975;
2023-12-08;272,70;272,90;272,30;274,40;271,00;272,90;273,023;321062;87641829,65;1717;
2023-12-07;272,30;272,50;270,10;273,40;267,10;272,30;270,95;318288;86238934,6;1851;
2023-12-06;270,30;270,50;271,90;274,60;270,00;270,00;271,357;269678;73195507,5;1692;
2023-12-05;271,90;272,10;266,90;277,10;266,60;271,90;273,342;407606;111442496,05;3199;
2023-12-04;266,50;266,70;262,30;267,90;262,00;266,90;266,343;201991;53799109,5;1892;
2023-12-01;261,70;262,00;261,60;263,50;261,00;262,30;262,252;118772;31148105,2;1205;
2023-11-30;261,80;262,10;262,00;263,20;260,70;261,60;261,729;317296;83045329,15;1628;
2023-11-29;261,90;262,20;261,40;263,50;260,80;261,40;261,916;152357;39904465,8;1431;
2023-11-28;261,80;262,10;259,00;262,20;257,90;261,10;260,437;153200;39911380,35;1609;
2023-11-27;258,40;258,60;260,10;262,30;258,30;258,40;259,201;190670;49427885,35;1870;
2023-11-24;259,90;260,10;259,30;261,50;259,00;260,30;260,058;115978;30161525,15;1599;
2023-11-23;259,50;259,70;260,00;260,80;258,90;259,30;259,414;149165;38698431,65;1323;
2023-11-22;258,90;259,10;258,20;259,60;257,50;259,30;258,94;166651;43148281,15;1388;
2023-11-21;258,00;258,30;256,20;258,90;256,10;258,20;257,641;161039;41489922,9;1597;
2023-11-20;256,00;256,20;257,20;260,50;255,30;256,20;257,188;193698;49908447,5;1426;
2023-11-17;257,50;257,60;252,90;258,30;252,90;257,20;257,146;127765;32855369,2;1119;
2023-11-16;252,60;252,90;254,70;259,20;251,60;252,70;254,887;247842;63205893,25;1793;
2023-11-15;254,20;254,40;255,30;256,50;252,00;254,50;253,83;250338;63540151,3;1917;
2023-11-14;254,60;254,80;250,80;256,00;248,10;254,70;253,626;268430;68033437,8;1746;
2023-11-13;251,00;251,20;246,00;251,50;245,50;250,80;249,611;155170;38723914,15;1374;
2023-11-10;245,70;246,00;247,00;249,40;243,90;245,90;245,588;224194;55031724,5;1680;
2023-11-09;246,10;246,20;248,30;248,90;246,20;246,80;246,897;195295;48219892,65;1480;
2023-11-08;248,20;248,40;250,50;250,70;246,60;248,30;248,408;173874;43193946,1;1491;
2023-11-07;250,40;250,60;251,70;253,60;249,60;250,50;250,943;126658;31784260,4;1530;
2023-11-06;251,00;251,30;252,30;252,90;249,20;251,70;251,157;145351;36501438,55;1653;
2023-11-03;252,00;252,30;250,50;252,80;250,30;252,30;251,705;87468;22013907,25;851;
2023-11-02;249,80;250,10;250,80;252,60;249,50;250,50;250,711;164840;41326819,1;1543;
2023-11-01;250,00;250,20;246,10;250,60;246,10;250,00;249,295;147041;36656547,3;1255;
2023-10-31;246,50;246,90;247,10;248,10;244,70;246,60;246,321;438869;108438369;1604;
2023-10-30;246,80;247,20;245,80;247,60;244,80;247,00;246,37;154186;37986678,4;1505;
2023-10-27;245,10;245,50;248,20;252,30;244,70;245,80;247,535;252055;62395353,2;2343;
2023-10-26;247,80;247,90;235,20;251,20;235,20;248,20;245,514;416656;102314039,05;3359;
2023-10-25;235,60;235,80;237,00;239,40;229,80;235,60;234,616;431390;101206214,3;4425;
2023-10-24;237,00;237,20;238,80;240,60;233,00;237,00;236,982;269367;63822675,05;2401;
2023-10-23;239,70;240,30;236,70;240,30;234,90;239,30;237,90;273687;65215028,45;1748;
2023-10-20;237,00;237,30;239,00;239,10;234,00;236,70;236,253;248529;58714775,65;2782;
2023-10-19;239,90;240,10;239,30;240,90;238,20;240,10;239,655;175562;42096434;1645;
2023-10-18;239,60;239,90;240,70;242,40;239,00;239,80;240,309;221733;53271171,42;1670;
2023-10-17;241,50;241,80;240,70;244,60;239,80;241,80;242,21;119607;28969920,85;1314;
2023-10-16;240,80;240,90;244,80;246,30;240,30;240,70;242,112;173752;42069986,7;1998;
2023-10-13;244,70;245,20;247,70;248,70;243,30;244,80;245,343;181279;44466285,95;1803;
2023-10-12;248,00;248,20;251,10;252,80;247,10;247,90;249,109;293304;73060496,92;2034;
2023-10-11;250,10;250,30;250,00;251,50;248,80;250,90;250,509;192745;48283106,45;1757;
2023-10-10;249,90;250,20;251,20;253,60;249,00;250,10;250,221;242374;60659298,95;1813;
2023-10-09;250,70;250,90;253,10;253,90;250,10;251,00;251,658;119577;30094153,95;1320;
2023-10-06;252,90;253,10;253,40;254,30;251,70;253,40;253,334;192067;48658054,85;1313;
2023-10-05;253,40;253,60;250,70;256,00;250,70;253,70;253,655;170419;43241514,7;1211;
2023-10-04;249,50;249,70;247,70;251,30;246,00;250,00;249,265;304390;75874643,75;1954;
2023-10-03;245,40;245,60;248,80;248,80;244,90;244,90;246,068;106797;26279389,6;1569;
2023-10-02;248,80;249,00;250,40;254,50;248,10;248,80;249,494;170648;42575676;2075;
2023-09-29;250,70;251,00;249,20;252,70;248,20;250,40;250,77;215061;53930496,3;1752;
2023-09-28;249,80;250,00;251,90;252,60;241,10;249,20;246,652;888719;219201106,65;7913;
2023-09-27;256,60;256,80;257,00;262,10;255,90;256,50;258,431;290533;75075379,95;3235;
2023-09-26;256,30;256,50;254,50;257,20;251,90;257,00;255,402;264754;67614871;2404;
2023-09-25;254,50;254,70;258,10;258,80;253,10;254,50;255,022;177363;45231225,55;2266;
2023-09-22;258,00;258,10;259,00;261,30;257,30;258,10;258,714;141680;36656700,15;1463;
2023-09-21;259,80;259,90;259,40;260,70;256,80;260,00;258,941;245942;63682856,05;2225;
2023-09-20;263,70;264,00;266,90;268,20;256,10;263,30;262,007;549853;144071854,2;5078;
2023-09-19;269,70;270,00;270,70;272,20;268,30;270,00;270,218;239860;64816820,75;1776;
2023-09-18;270,50;270,80;268,30;273,10;267,70;270,60;270,95;210172;56789151,5;1722;
2023-09-15;268,30;269,00;269,20;271,80;268,00;268,30;269,257;441612;118904010,15;2779;
2023-09-14;268,80;269,00;264,00;269,40;263,80;269,10;267,608;169921;45491351,15;1376;
2023-09-13;263,70;263,90;266,00;266,90;262,90;264,10;264,218;252745;66782260;1271;
2023-09-12;266,80;267,00;265,30;268,40;265,30;267,00;267,078;134047;35801606,37;1104;
2023-09-11;265,10;265,30;265,50;269,20;263,90;265,30;266,072;210249;55928067,7;1847;
2023-09-08;265,20;265,30;264,00;266,00;261,60;265,60;264,502;126147;33371568,35;1197;
2023-09-07;263,90;264,00;262,40;265,90;260,80;264,00;263,969;191842;50638451,35;1560;
2023-09-06;262,20;262,40;263,70;264,00;260,60;262,40;262,076;134890;35357407,4;1476;
2023-09-05;262,80;263,30;263,90;264,40;260,40;263,20;262,559;150728;39575010,65;1651;
2023-09-04;264,20;264,40;266,50;268,10;262,80;264,40;264,836;165561;43846421,3;1789;
2023-09-01;266,10;266,40;264,70;269,00;262,30;266,50;266,355;249651;66410554,75;1821;
2023-08-31;264,30;264,80;264,60;265,90;263,50;264,70;264,592;165220;43715933,2;1219;
2023-08-30;264,30;264,40;264,00;265,50;263,50;264,60;264,559;105971;28035709,7;1263;
2023-08-29;263,50;263,60;262,80;264,00;261,20;264,00;263,121;141439;37215869,5;1373;
2023-08-28;262,90;263,20;260,20;263,40;260,20;262,90;262,421;125573;32953385,7;1369;
2023-08-25;259,90;260,00;258,90;260,80;257,40;260,20;259,745;125486;32599128,2;1683;
2023-08-24;258,60;258,70;257,80;261,60;257,30;258,90;259,709;214705;55764130,4;1566;
2023-08-23;257,40;257,60;259,00;261,50;257,40;257,90;259,101;163996;42486103,5;1361;
2023-08-22;258,60;258,90;258,90;260,50;257,30;259,00;259,003;181587;47113389,6;1440;
2023-08-21;258,60;258,90;258,80;260,60;258,50;258,90;259,37;143372;37186201,1;1205;
2023-08-18;258,60;258,80;261,10;261,50;256,50;258,80;258,767;135798;35138692,75;1328;
2023-08-17;261,30;261,90;261,30;262,60;258,70;262,00;261,171;180437;47128732,15;1515;
2023-08-16;261,50;261,70;259,90;262,00;259,90;261,80;261,285;87582;22883025,15;874;
2023-08-15;260,70;261,00;263,00;263,00;260,30;260,90;261,425;108302;28319090,8;1123;
2023-08-14;262,70;263,00;261,60;263,70;259,70;263,00;261,978;175722;46024473,45;1332;
