sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-12-15;121,20;121,30;119,30;121,95;119,25;121,95;121,641;10866289;1321409145,68;5574;
2023-12-14;118,95;119,00;118,45;119,95;118,40;118,95;119,038;5693603;677757071,07;5507;
2023-12-13;116,15;116,25;116,75;117,65;116,05;116,05;116,311;4712535;548121540,95;3043;
2023-12-12;116,55;116,65;115,85;117,15;115,80;116,45;116,485;4634596;539898494,98;4206;
2023-12-11;116,40;116,50;115,15;117,00;114,65;116,50;116,35;5972485;694890026,61;4853;
2023-12-08;116,15;116,25;109,00;116,25;108,75;115,70;114,411;7481380;855827583,22;7777;
2023-12-07;108,90;108,95;107,75;109,20;106,90;109,00;108,616;4805794;521805800,36;4343;
2023-12-06;108,25;108,35;105,85;108,35;105,50;108,30;107,76;3627290;390868611,41;3591;
2023-12-05;105,15;105,50;104,90;106,60;104,50;105,75;105,645;2850841;301132740,59;2651;
2023-12-04;105,45;105,50;105,25;106,60;105,00;105,45;105,652;2681190;283278762,78;2569;
2023-12-01;105,25;105,35;104,40;106,10;104,35;105,30;105,412;3346494;352759015,88;4053;
2023-11-30;105,10;105,15;104,25;105,30;103,35;104,90;104,747;6974975;730605892,36;4159;
2023-11-29;104,40;104,45;104,10;105,45;103,80;104,50;104,609;4519023;472720388,46;4724;
2023-11-28;104,00;104,10;103,90;104,75;103,50;104,10;104,123;2575297;268134233,56;2369;
2023-11-27;104,50;104,60;103,00;105,10;102,50;104,35;104,327;3197467;333580373,36;2715;
2023-11-24;104,70;104,80;104,15;105,00;104,05;104,35;104,506;2605398;272284010,8;2258;
2023-11-23;104,45;104,50;103,85;105,20;103,65;104,50;104,527;2681741;280319206,99;3274;
2023-11-22;104,30;104,35;102,45;105,05;102,15;104,10;103,978;5136189;534046671,13;6359;
2023-11-21;102,60;102,70;102,50;103,00;101,95;102,50;102,532;5188059;531941102,05;6381;
2023-11-20;102,80;102,85;101,90;103,30;101,60;102,95;102,817;4619218;469317261,36;4701;
2023-11-17;101,90;102,00;101,00;102,70;101,00;101,85;102,025;2407553;245630435,3;2512;
2023-11-16;100,75;100,85;102,55;102,70;100,75;101,10;101,459;5103830;518037330,62;5246;
2023-11-15;102,45;102,55;99,94;103,45;99,88;102,55;102,54;9185818;941918023,06;8812;
2023-11-14;99,52;99,56;95,24;99,72;95,00;99,68;98,852;6296545;622388398,27;5147;
2023-11-13;95,14;95,20;95,16;95,60;94,50;95,16;95,094;1966368;186989722,08;2300;
2023-11-10;94,92;94,96;95,74;96,38;94,08;95,14;94,968;2167129;205812838,6;3022;
2023-11-09;96,64;96,68;95,10;96,96;94,90;96,74;96,298;3339883;321607772,62;4194;
2023-11-08;94,98;95,02;95,50;96,20;94,72;95,10;95,255;2615935;249193239,84;3216;
2023-11-07;95,98;96,02;94,86;96,16;94,78;96,16;95,95;2183072;209464995,77;2580;
