sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2023-12-29;425,30;425,80;430,00;431,80;425,00;425,70;426,631;129920;55437995,35;1361;
2023-12-28;431,30;431,60;430,90;433,70;428,30;431,10;430,754;76725;33047686,8;1239;
2023-12-27;432,50;432,80;431,20;434,00;430,70;431,60;431,945;89006;38452255,1;1066;
2023-12-22;430,70;431,70;429,20;432,70;427,60;431,20;430,948;61747;26609706,1;823;
2023-12-21;428,60;428,80;428,10;430,60;426,70;429,40;429,059;94019;40340440,95;1081;
2023-12-20;428,60;428,80;434,00;434,60;427,90;430,10;430,74;145896;62849306,65;1352;
2023-12-19;434,70;435,00;432,40;440,10;432,40;435,00;437,103;525812;229835971,3;1542;
2023-12-18;432,30;432,70;432,20;436,50;430,60;432,40;432,937;97649;42411855,1;937;
2023-12-15;431,60;432,30;427,90;433,20;426,50;432,20;431,568;506837;218763351,75;2834;
2023-12-14;426,70;427,40;433,80;437,30;423,60;427,20;429,291;331602;142371512,25;3997;
2023-12-13;425,30;425,50;430,00;431,00;423,80;425,00;425,622;282213;120117420,1;2098;
2023-12-12;429,70;430,50;442,00;442,70;421,90;430,30;427,734;646073;276259944,45;6472;
2023-12-11;448,20;448,50;442,80;450,00;441,90;448,80;448,122;211573;94810095,5;1369;
2023-12-08;444,10;444,40;434,30;444,80;433,60;443,80;442,163;116292;51406609,6;1233;
2023-12-07;434,30;434,80;434,60;437,00;429,50;434,30;434,379;129800;56385813,35;1417;
2023-12-06;435,90;436,30;436,40;438,90;433,00;435,90;436,221;154977;67604576,6;1847;
2023-12-05;434,70;434,90;436,80;439,50;431,50;434,80;434,791;173184;75298867;2688;
2023-12-04;438,40;438,70;443,90;443,90;438,20;438,30;439,127;127219;55866331,25;1101;
2023-12-01;445,60;446,00;439,90;447,90;438,90;445,60;445,235;137776;61340939,65;1505;
2023-11-30;435,20;435,70;438,90;439,90;428,90;439,90;439,451;1436651;631281125,35;3584;
2023-11-29;441,60;441,90;433,80;443,80;430,90;440,60;440,215;249169;109706699,7;2196;
2023-11-28;433,40;433,70;426,10;434,00;425,80;433,70;432,456;138266;59787120,8;1437;
2023-11-27;426,70;427,10;428,50;428,50;425,00;426,80;426,774;107204;45751867,2;1163;
2023-11-24;428,70;428,90;428,90;430,30;426,90;428,50;428,45;77534;33216461,35;1472;
2023-11-23;429,40;430,00;429,30;432,80;426,10;429,50;429,196;100429;43107537,6;1410;
2023-11-22;428,90;429,20;430,30;435,00;427,50;429,30;429,865;150243;64583243,9;1346;
2023-11-21;431,50;432,30;427,00;433,60;426,90;430,70;431,266;141076;60841417,8;1589;
2023-11-20;427,90;428,50;428,00;431,90;426,90;426,90;428,189;109235;46780487,2;1247;
2023-11-17;430,20;431,00;421,00;431,60;421,00;429,80;429,431;105360;45243156;1494;
2023-11-16;420,90;421,20;423,40;428,40;417,80;421,00;420,725;162383;68316589,1;2173;
2023-11-15;423,00;423,30;429,00;429,50;422,70;423,40;424,316;164815;69934396,05;2103;
2023-11-14;427,60;428,00;420,30;429,00;414,40;429,00;425,159;146131;62128912,3;1462;
2023-11-13;420,20;420,70;421,70;423,50;419,10;420,30;420,332;93265;39202180,2;924;
2023-11-10;421,20;421,70;416,00;423,10;415,40;421,60;419,882;94193;39549748,8;1073;
2023-11-09;421,90;422,30;420,10;424,40;420,00;423,10;422,607;111858;47268056;929;
2023-11-08;419,80;420,50;426,30;426,30;417,70;420,10;420,011;111168;46693003;1214;
2023-11-07;422,90;423,10;425,40;430,40;421,90;423,00;424,043;82597;35029401,9;941;
2023-11-06;429,00;429,50;424,00;430,10;421,10;429,60;427,40;85684;36621553,4;1158;
2023-11-03;424,50;424,90;426,90;428,40;423,10;423,40;423,774;63894;27076621,2;550;
2023-11-02;426,60;426,80;423,40;430,00;423,40;426,90;427,645;113059;48349055,9;1189;
2023-11-01;420,40;420,70;421,80;423,60;418,90;421,50;421,639;98314;41452482,35;1084;
2023-10-31;419,40;419,70;419,20;422,70;415,30;420,70;420,138;148754;62489016,75;923;
2023-10-30;419,10;419,80;420,00;422,70;415,40;419,20;419,161;111624;46787519,2;1249;
2023-10-27;419,20;419,60;411,30;421,70;408,00;419,50;418,947;144968;60731502,45;1391;
2023-10-26;410,00;410,30;409,30;420,10;408,00;410,80;411,774;214711;88415636,6;2335;
2023-10-25;408,10;410,10;434,40;434,40;404,00;409,10;409,857;213274;87409677,15;2099;
2023-10-24;407,30;407,70;398,30;408,90;398,30;408,80;406,366;193317;78556361,7;2027;
2023-10-23;398,60;399,10;403,10;404,00;395,70;398,30;398,332;228966;91272699,6;1921;
2023-10-20;402,90;403,20;411,80;412,70;402,70;403,10;405,005;217111;87937001,75;2301;
2023-10-19;414,80;415,30;420,30;420,80;413,20;415,40;416,172;127980;53262638,05;1645;
2023-10-18;423,10;423,60;433,10;433,10;419,80;422,00;422,761;141114;59661185,45;1585;
2023-10-17;432,90;433,30;433,00;433,60;427,10;433,10;431,731;122524;52892323,35;1374;
2023-10-16;435,10;435,40;432,80;438,40;432,80;435,10;435,584;107642;46889052,4;1322;
2023-10-13;433,80;434,10;435,80;438,40;432,80;432,80;434,819;304039;132201886,55;1267;
2023-10-12;436,10;436,30;440,00;446,10;435,50;435,80;439,483;155521;68358230,4;1958;
2023-10-11;437,20;437,50;428,20;440,80;427,60;437,50;437,267;226656;99106570,2;1748;
2023-10-10;428,80;429,10;427,80;432,00;427,80;428,20;428,956;150335;64488865,8;1247;
