sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-02-02;112,60;112,70;112,70;113,35;111,55;112,40;112,519;4351375;489635316,14;5539;
2024-02-01;111,15;111,25;111,30;113,45;111,10;111,35;111,908;5566891;623283711,03;6901;
2024-01-31;112,55;112,60;114,10;114,30;112,55;112,55;112,857;5180940;584779376,53;5316;
2024-01-30;113,65;113,75;113,45;114,20;112,80;113,65;113,695;2873323;326694736,22;3750;
2024-01-29;113,25;113,30;114,50;114,70;113,10;113,30;113,718;3901108;443625385,09;5006;
2024-01-26;114,40;114,45;115,60;115,70;113,15;114,40;114,225;4695379;536292994,36;7147;
2024-01-25;115,40;115,45;110,40;115,60;110,15;115,60;113,894;8443112;961842933,9;10561;
2024-01-24;110,90;110,95;110,55;111,30;109,30;110,80;110,468;4824577;533005536,58;6613;
2024-01-23;109,65;109,70;110,35;110,55;109,15;109,65;109,678;4554096;499475202,99;5665;
2024-01-22;110,25;110,30;108,60;110,70;108,45;110,10;109,982;5093649;559066800,61;6031;
2024-01-19;107,85;107,90;108,25;108,80;107,55;107,85;108,002;4826082;521242216,99;5508;
2024-01-18;108,15;108,25;107,85;109,25;106,95;107,90;108,158;4527858;489786349,38;5127;
2024-01-17;107,60;107,70;106,55;107,80;105,45;107,55;106,926;4291197;458750598,54;5674;
2024-01-16;107,40;107,45;110,00;110,00;106,75;107,25;107,678;6551858;705479085,51;9717;
2024-01-15;110,25;110,30;111,10;111,55;110,05;110,40;110,657;3439949;380657707,37;5054;
2024-01-12;110,60;110,65;110,00;111,40;110,00;110,65;110,843;4865826;539349182,18;5148;
2024-01-11;109,55;109,60;109,70;110,70;109,20;109,55;109,764;4161247;456768497,69;4554;
2024-01-10;109,40;109,45;109,30;109,90;108,70;109,20;109,392;4140628;452959958,37;3480;
2024-01-09;109,45;109,55;109,50;110,30;108,85;109,65;109,593;5426925;594811808,3;5856;
2024-01-08;110,35;110,45;111,10;111,65;110,25;110,50;110,784;4417186;489361801,43;5706;
2024-01-05;110,55;110,65;110,40;111,15;110,30;110,45;110,565;1627099;179902627,25;2258;
2024-01-04;110,90;111,00;108,25;111,05;108,25;110,90;110,344;4576045;505070385,49;5772;
2024-01-03;108,25;108,30;110,40;110,55;108,10;108,25;108,761;4058326;441344683,64;6016;
2024-01-02;109,75;109,80;109,85;111,30;109,70;110,00;110,353;5282071;582873248,75;7255;
2023-12-29;109,35;109,40;109,25;109,65;109,15;109,45;109,442;2907451;318196464,75;3417;
2023-12-28;109,15;109,25;109,55;109,70;108,75;109,05;109,116;2480532;270694156,4;3889;
2023-12-27;109,30;109,35;108,15;109,55;108,15;109,55;109,312;4554300;497831620,03;5208;
2023-12-22;108,00;108,05;107,45;108,45;107,35;108,15;108,067;2859583;308998788,32;3524;
2023-12-21;107,50;107,55;107,90;107,90;106,90;107,45;107,39;2738928;294124535,53;3450;
2023-12-20;108,20;108,25;108,10;109,20;106,80;108,15;107,913;5782233;623907793,77;6126;
2023-12-19;107,90;107,95;108,40;108,80;107,60;107,95;108,059;4911090;530727841,17;5082;
2023-12-18;108,65;108,70;107,30;109,10;106,90;108,65;108,518;8009428;863658079,29;7700;
2023-12-15;107,55;107,60;106,65;108,05;106,45;107,50;107,428;7889045;847502369,11;8377;
2023-12-14;106,55;106,60;104,65;106,70;104,60;106,50;106,014;11865735;1257431749,86;10627;
2023-12-13;103,90;103,95;103,70;104,25;103,15;103,90;103,863;5194249;539473393,92;4972;
2023-12-12;103,75;103,80;103,90;104,70;103,55;103,75;104,145;5254725;547261417,94;5730;
2023-12-11;103,75;103,80;102,35;103,95;102,35;103,90;103,517;4466062;462297627,34;5593;
2023-12-08;102,30;102,35;102,05;102,50;100,35;102,35;101,671;5995976;609487262,32;7003;
2023-12-07;102,30;102,35;101,10;102,50;101,10;102,30;102,151;5061624;517041042,69;5608;
2023-12-06;101,10;101,15;100,70;101,60;100,25;101,10;100,958;3845765;388215766,7;5311;
2023-12-05;100,60;100,65;99,70;100,95;99,62;100,60;100,513;3902118;392212191,99;5240;
2023-12-04;99,66;99,70;99,58;99,96;99,32;99,80;99,686;2746521;273789580,74;4303;
2023-12-01;99,46;99,50;99,90;99,90;98,62;99,46;99,237;3712659;368436218,14;6189;
2023-11-30;99,44;99,48;99,22;99,88;98,52;99,40;99,396;6764213;672273201,79;5361;
2023-11-29;99,22;99,26;98,52;99,56;98,36;99,24;99,165;3897879;386526625,57;5331;
2023-11-28;98,92;98,96;99,80;99,94;98,48;98,98;99,042;3593385;355891554,09;5501;
2023-11-27;100,20;100,25;100,95;101,50;99,86;100,10;100,322;3252848;326333366,97;4696;
